"filename", "language", "Dart", "YAML", "Markdown", "C++", "PowerShell", "CMake", "Swift", "Shell Script", "JSON", "HTML", "XML", "JavaScript", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\features\page-modules\settings_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\user_preferences_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\web_context_menu_demo_page_module.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"e:\code\r6box\r6box\lib\features\page_registry.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 96
"e:\code\r6box\r6box\lib\l10n\app_localizations.dart", "Dart", 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 880, 220, 1359
"e:\code\r6box\r6box\lib\l10n\app_localizations_en.dart", "Dart", 481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 207, 691
"e:\code\r6box\r6box\lib\l10n\app_localizations_zh.dart", "Dart", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 207, 673
"e:\code\r6box\r6box\lib\main.dart", "Dart", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 107
"e:\code\r6box\r6box\lib\mixins\map_localization_mixin.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 57
"e:\code\r6box\r6box\lib\models\legend_item.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 124
"e:\code\r6box\r6box\lib\models\legend_item.g.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"e:\code\r6box\r6box\lib\models\map_item.dart", "Dart", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 159
"e:\code\r6box\r6box\lib\models\map_item.g.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"e:\code\r6box\r6box\lib\models\map_item_summary.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"e:\code\r6box\r6box\lib\models\map_item_summary.g.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 382
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 163
"e:\code\r6box\r6box\lib\models\map_layer_example.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 86
"e:\code\r6box\r6box\lib\models\map_localization.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 114
"e:\code\r6box\r6box\lib\models\map_localization.g.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"e:\code\r6box\r6box\lib\models\user_preferences.dart", "Dart", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 61, 419
"e:\code\r6box\r6box\lib\models\user_preferences.g.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 151
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 240
"e:\code\r6box\r6box\lib\pages\demo\web_context_menu_demo_page.dart", "Dart", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 356
"e:\code\r6box\r6box\lib\pages\home\home_page.dart", "Dart", 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 196
"e:\code\r6box\r6box\lib\pages\legend_manager\legend_manager_page.dart", "Dart", 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36, 592
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 39, 726
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 1818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 237, 2255
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 1405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 92, 1573
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_legend_binding_drawer.dart", "Dart", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 275
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 1246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 163, 1582
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 68, 1061
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_panel.dart", "Dart", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 204
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 2923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 487, 469, 3879
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\z_index_inspector.dart", "Dart", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 258
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 125
"e:\code\r6box\r6box\lib\pages\settings\user_preferences_page.dart", "Dart", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 306
"e:\code\r6box\r6box\lib\pages\settings\widgets\layout_settings_section.dart", "Dart", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23, 233
"e:\code\r6box\r6box\lib\pages\settings\widgets\map_editor_settings_section.dart", "Dart", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 103
"e:\code\r6box\r6box\lib\pages\settings\widgets\theme_settings_section.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 192
"e:\code\r6box\r6box\lib\pages\settings\widgets\tool_settings_section.dart", "Dart", 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40, 683
"e:\code\r6box\r6box\lib\pages\settings\widgets\user_management_section.dart", "Dart", 786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 69, 875
"e:\code\r6box\r6box\lib\pages\test\fullscreen_test_page.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 46
"e:\code\r6box\r6box\lib\providers\locale_provider.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 56
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 253
"e:\code\r6box\r6box\lib\providers\user_preferences_provider.dart", "Dart", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 58, 463
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 74
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 187
"e:\code\r6box\r6box\lib\services\legend_database_service.dart", "Dart", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 47, 332
"e:\code\r6box\r6box\lib\services\map_database_service.dart", "Dart", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 50, 391
"e:\code\r6box\r6box\lib\services\map_localization_service.dart", "Dart", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 334
"e:\code\r6box\r6box\lib\services\user_preferences_service.dart", "Dart", 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 68, 424
"e:\code\r6box\r6box\lib\services\web_database_importer.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 114
"e:\code\r6box\r6box\lib\services\web_database_preloader.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 107
