"filename", "language", "YAML", "Dart", "Markdown", "HTML", "Swift", "JSON", "C++", "CMake", "XML", "Shell Script", "PowerShell", "Properties", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\l10n\app_localizations_zh.dart", "Dart", 0, 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 166, 544
"e:\code\r6box\r6box\lib\main.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 66
"e:\code\r6box\r6box\lib\mixins\map_localization_mixin.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 57
"e:\code\r6box\r6box\lib\models\legend_item.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 124
"e:\code\r6box\r6box\lib\models\legend_item.g.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 47
"e:\code\r6box\r6box\lib\models\map_item.dart", "Dart", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 159
"e:\code\r6box\r6box\lib\models\map_item.g.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"e:\code\r6box\r6box\lib\models\map_item_summary.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"e:\code\r6box\r6box\lib\models\map_item_summary.g.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 313
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 152
"e:\code\r6box\r6box\lib\models\map_localization.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 114
"e:\code\r6box\r6box\lib\models\map_localization.g.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 234
"e:\code\r6box\r6box\lib\pages\home\home_page.dart", "Dart", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 179
"e:\code\r6box\r6box\lib\pages\legend_manager\legend_manager_page.dart", "Dart", 0, 543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36, 592
