"filename", "language", "Dart", "PowerShell", "Shell Script", "JavaScript", "YAML", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "hetu", "XML", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\l10n\app_localizations_en.dart", "Dart", 476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 205, 684
"e:\code\r6box\r6box\lib\l10n\app_localizations_zh.dart", "Dart", 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 205, 667
"e:\code\r6box\r6box\lib\main.dart", "Dart", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 127
"e:\code\r6box\r6box\lib\mixins\map_localization_mixin.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 57
"e:\code\r6box\r6box\lib\models\legend_item.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 127
"e:\code\r6box\r6box\lib\models\legend_item.g.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 49
"e:\code\r6box\r6box\lib\models\map_item.dart", "Dart", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 183
"e:\code\r6box\r6box\lib\models\map_item.g.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 61
"e:\code\r6box\r6box\lib\models\map_item_summary.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 86
"e:\code\r6box\r6box\lib\models\map_item_summary.g.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\code\r6box\r6box\lib\models\map_layer.dart", "Dart", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 421
"e:\code\r6box\r6box\lib\models\map_layer.g.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 183
"e:\code\r6box\r6box\lib\models\map_localization.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 114
"e:\code\r6box\r6box\lib\models\map_localization.g.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 38
"e:\code\r6box\r6box\lib\models\map_version.dart", "Dart", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 42, 287
"e:\code\r6box\r6box\lib\models\script_data.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 120
"e:\code\r6box\r6box\lib\models\script_data.g.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 46
"e:\code\r6box\r6box\lib\models\sticky_note.dart", "Dart", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 243
"e:\code\r6box\r6box\lib\models\sticky_note.g.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 91
"e:\code\r6box\r6box\lib\models\user_preferences.dart", "Dart", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 62, 463
"e:\code\r6box\r6box\lib\models\user_preferences.g.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 166
"e:\code\r6box\r6box\lib\pages\config\config_editor_page.dart", "Dart", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 242
"e:\code\r6box\r6box\lib\pages\demo\markdown_renderer_demo_page.dart", "Dart", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 263
